Month,Index (1982-84=1),Nominal,Motor Gasoline Price($/gallon),Base CPI (5/2023)
May 1992,1.397,1.11,2.41,
June 1992,1.401,1.14,2.48,
July 1992,1.405,1.14,2.45,
August 1992,1.408,1.12,2.42,
September 1992,1.411,1.12,2.41,
October 1992,1.417,1.11,2.39,
November 1992,1.421,1.11,2.37,
December 1992,1.423,1.08,2.30,
January 1993,1.428,1.06,2.26,
February 1993,1.431,1.05,2.24,
March 1993,1.433,1.05,2.23,
April 1993,1.438,1.08,2.28,
May 1993,1.442,1.10,2.32,
June 1993,1.443,1.10,2.31,
July 1993,1.445,1.08,2.26,
August 1993,1.448,1.06,2.23,
September 1993,1.450,1.05,2.20,
October 1993,1.456,1.09,2.28,
November 1993,1.460,1.07,2.22,
December 1993,1.463,1.01,2.10,
January 1994,1.463,1.00,2.07,
February 1994,1.467,1.01,2.09,
March 1994,1.471,1.01,2.08,
April 1994,1.472,1.03,2.12,
May 1994,1.475,1.05,2.16,
June 1994,1.479,1.08,2.21,
July 1994,1.484,1.11,2.26,
August 1994,1.490,1.15,2.35,
September 1994,1.493,1.14,2.32,
October 1994,1.494,1.11,2.26,
November 1994,1.498,1.12,2.26,
December 1994,1.501,1.09,2.20,
January 1995,1.505,1.08,2.18,
February 1995,1.509,1.07,2.16,
March 1995,1.512,1.07,2.15,
April 1995,1.518,1.11,2.22,
May 1995,1.521,1.18,2.35,
June 1995,1.524,1.19,2.37,
July 1995,1.526,1.15,2.29,
August 1995,1.529,1.12,2.23,
September 1995,1.531,1.11,2.20,
October 1995,1.535,1.09,2.15,
November 1995,1.537,1.06,2.10,
December 1995,1.539,1.07,2.11,
January 1996,1.547,1.09,2.14,
February 1996,1.550,1.09,2.13,
March 1996,1.555,1.14,2.22,
April 1996,1.561,1.23,2.39,
May 1996,1.564,1.28,2.48,
June 1996,1.567,1.26,2.43,
July 1996,1.570,1.23,2.37,
August 1996,1.572,1.21,2.33,
September 1996,1.577,1.20,2.31,
October 1996,1.582,1.20,2.31,
November 1996,1.587,1.23,2.36,
December 1996,1.591,1.24,2.36,
January 1997,1.594,1.24,2.35,
February 1997,1.597,1.23,2.34,
March 1997,1.598,1.21,2.29,
April 1997,1.599,1.20,2.28,
May 1997,1.599,1.20,2.28,
June 1997,1.602,1.20,2.27,
July 1997,1.604,1.17,2.22,
August 1997,1.608,1.22,2.31,
September 1997,1.612,1.23,2.32,
October 1997,1.615,1.20,2.25,
November 1997,1.617,1.17,2.20,
December 1997,1.618,1.13,2.12,
January 1998,1.620,1.09,2.04,
February 1998,1.620,1.05,1.97,
March 1998,1.620,1.02,1.90,
April 1998,1.622,1.03,1.93,
May 1998,1.626,1.06,1.99,
June 1998,1.628,1.06,1.98,
July 1998,1.632,1.06,1.96,
August 1998,1.634,1.03,1.91,
September 1998,1.635,1.01,1.87,
October 1998,1.639,1.02,1.89,
November 1998,1.641,1.00,1.84,
December 1998,1.644,0.95,1.74,
January 1999,1.647,0.94,1.73,
February 1999,1.647,0.92,1.70,
March 1999,1.648,0.98,1.81,
April 1999,1.659,1.13,2.07,
May 1999,1.660,1.13,2.07,
June 1999,1.660,1.11,2.04,
July 1999,1.667,1.16,2.11,
August 1999,1.671,1.22,2.22,
September 1999,1.678,1.26,2.27,
October 1999,1.681,1.24,2.25,
November 1999,1.684,1.25,2.26,
December 1999,1.688,1.27,2.29,
January 2000,1.693,1.29,2.31,
February 2000,1.700,1.38,2.46,
March 2000,1.710,1.52,2.69,
April 2000,1.709,1.46,2.60,
May 2000,1.712,1.49,2.64,
June 2000,1.722,1.63,2.88,
July 2000,1.727,1.55,2.73,
August 2000,1.727,1.46,2.57,
September 2000,1.736,1.55,2.71,
October 2000,1.739,1.53,2.67,
November 2000,1.742,1.52,2.64,
December 2000,1.746,1.44,2.51,
January 2001,1.756,1.45,2.50,
February 2001,1.760,1.45,2.50,
March 2001,1.761,1.41,2.43,
April 2001,1.764,1.55,2.67,
May 2001,1.773,1.70,2.91,
June 2001,1.777,1.62,2.76,
July 2001,1.774,1.42,2.43,
August 2001,1.774,1.42,2.43,
September 2001,1.781,1.52,2.59,
October 2001,1.776,1.32,2.25,
November 2001,1.775,1.17,2.00,
December 2001,1.774,1.09,1.86,
January 2002,1.777,1.11,1.89,
February 2002,1.780,1.11,1.90,
March 2002,1.785,1.25,2.12,
April 2002,1.793,1.40,2.36,
May 2002,1.795,1.39,2.35,
June 2002,1.796,1.38,2.34,
